"","%IncMSE","IncNodePurity"
"Id",-1.73705833328074,0.509653468468091
"MSSubClass",9.4798211942987,0.370382461468727
"MSZoning",6.83085884312067,1.12033001267042
"LotFrontage",4.0593503624484,0.566095482722303
"LotArea",17.203004037889,2.0826680792593
"Street",-1.22088658414584,0.0190401797544251
"Alley",1.4496555790895,0.0879257928302892
"LotShape",4.55296159443537,0.143080062845478
"LandContour",1.30406899875984,0.172435736176293
"Utilities",0,0
"LotConfig",-0.477925340107804,0.136008008127878
"LandSlope",-0.342689285451601,0.116536759377778
"Neighborhood",28.1106983837689,23.1015247594016
"Condition1",0.744135579516794,0.162293541398003
"Condition2",-1.86581670356242,0.0253080941402912
"BldgType",8.26770443372419,0.232262629960198
"HouseStyle",8.00816822311219,0.338480419914344
"OverallQual",22.7026092554828,30.9022320274111
"OverallCond",11.7769829724849,1.11252377080858
"YearBuilt",9.62459948622116,4.08952508714618
"YearRemodAdd",11.2656168644975,1.16376088422273
"RoofStyle",0.901803522530364,0.122613779968728
"RoofMatl",1.06158725123664,0.0170339108020796
"Exterior1st",6.23682782693295,1.1016132967615
"Exterior2nd",7.52179755504761,1.30269105033644
"MasVnrType",4.57309781199316,0.155699168293668
"MasVnrArea",6.36674460234948,0.424796916686312
"ExterQual",12.1766408641197,11.745271527435
"ExterCond",1.30876991702088,0.241664705628388
"Foundation",4.91334215496815,0.249699450270848
"BsmtQual",6.79631748882179,2.81363833444651
"BsmtCond",5.31252011864504,0.260489996340197
"BsmtExposure",3.02231435465887,0.337894148131282
"BsmtFinType1",11.1270023695744,0.860176303591955
"BsmtFinSF1",15.466392766562,2.22083025700153
"BsmtFinType2",-0.17254607244618,0.147289533777021
"BsmtFinSF2",0.708012696184474,0.0880476017645369
"BsmtUnfSF",6.36701591054505,0.686128545506998
"TotalBsmtSF",21.9972164994163,5.37661742941788
"Heating",-2.64558227461659,0.0992618886021648
"HeatingQC",5.26957039105169,0.371208832075367
"CentralAir",4.35847330040568,1.17425042589192
"Electrical",-0.147303008671354,0.110717319290235
"FirstFlrSF",20.9480597856572,4.20446365315417
"SecondFlrSF",16.5180217729476,1.9221256392566
"LowQualFinSF",-1.10581187574134,0.0166409198705463
"GrLivArea",37.5442114927163,18.1204278975783
"BsmtFullBath",7.44698881723034,0.203919842268271
"BsmtHalfBath",1.95137830761625,0.0236587541362105
"FullBath",8.20027489318641,2.31043927468256
"HalfBath",7.9010034445058,0.15558599424724
"BedroomAbvGr",7.10521777946574,0.596133857001767
"KitchenAbvGr",3.48366599611153,0.067699211245748
"KitchenQual",8.68474172971601,5.03830456900113
"TotRmsAbvGrd",9.34239694279624,0.802348739027343
"Functional",2.13674799880572,0.232625430705336
"Fireplaces",8.37314915951452,0.935891035337143
"FireplaceQu",11.6623962516095,1.71000761932148
"GarageType",10.2493327135874,2.6331058882998
"GarageYrBlt",7.48151770350364,1.36073186489359
"GarageFinish",8.34127800674116,2.14591198769978
"GarageCars",11.1623857705086,3.66355363781896
"GarageArea",15.2794911345984,3.99789487773141
"GarageQual",3.2174667941563,0.517386766224833
"GarageCond",1.93336077310478,0.846349592862351
"PavedDrive",3.01940282332622,0.337731664176062
"WoodDeckSF",5.95709579461577,0.379391132083459
"OpenPorchSF",10.2723081547273,0.693120655408179
"EnclosedPorch",2.98226739454795,0.251672882943608
"SsnPorch",1.3765575193811,0.0258185099073741
"ScreenPorch",1.20887997360066,0.0604748490028281
"PoolArea",-1.93954464018323,0.0567572931560281
"PoolQC",0,0.0250736873787939
"Fence",1.05063831918055,0.312093192794101
"MiscFeature",0.382613668185033,0.0132430968696644
"MiscVal",-0.373473375168958,0.0224911508229635
"MoSold",0.351888801214546,0.448729597331904
"YrSold",1.53768757236708,0.494415005447646
"SaleType",1.022802685709,0.106828607154786
"SaleCondition",-0.119200979673888,0.357322045717846
